session,root,interval,instrument,group,given_answer,correct_answer,difference,bin_difference,ascending
4,61,67,singer,groupB,10,6,4,False,True
4,69,65,singer,groupB,-8,-4,4,False,False
4,58,65,singer,groupB,7,7,0,True,True
4,56,65,singer,groupB,9,9,0,True,True
4,60,69,singer,groupB,7,9,2,False,True
4,66,60,singer,groupB,-4,-6,2,False,False
4,58,58,singer,groupB,0,0,0,True,False
4,66,55,singer,groupB,-10,-11,1,False,False
4,64,53,singer,groupB,-3,-11,8,False,False
4,69,65,singer,groupB,-3,-4,1,False,False
4,62,52,singer,groupB,-10,-10,0,True,False
4,59,60,vocal,groupA,1,1,0,True,True
4,65,67,vocal,groupA,2,2,0,True,True
4,63,58,vocal,groupA,-4,-5,1,False,False
4,56,61,vocal,groupA,3,5,2,False,True
4,53,65,vocal,groupA,12,12,0,True,True
4,61,65,vocal,groupA,3,4,1,False,True
4,66,66,vocal,groupA,0,0,0,True,False
4,62,60,vocal,groupA,-3,-2,1,False,False
4,56,64,vocal,groupA,5,8,3,False,True
4,60,52,vocal,groupA,-8,-8,0,True,False
4,58,62,vocal,groupA,4,4,0,True,True
4,60,63,vocal,groupA,8,3,5,False,True
4,60,68,vocal,groupA,12,8,4,False,True
4,64,67,vocal,groupA,4,3,1,False,True
4,65,62,vocal,groupA,-2,-3,1,False,False
4,64,52,vocal,groupA,-8,-12,4,False,False
4,66,68,vocal,groupA,8,2,6,False,True
4,67,65,vocal,groupA,-3,-2,1,False,False
4,56,53,vocal,groupA,-3,-3,0,True,False
4,54,66,vocal,groupA,12,12,0,True,True
5,63,69,singer,groupB,12,6,6,False,True
5,67,60,singer,groupB,-7,-7,0,True,False
5,60,56,singer,groupB,-1,-4,3,False,False
5,61,61,singer,groupB,0,0,0,True,False
5,54,65,singer,groupB,8,11,3,False,True
5,54,63,singer,groupB,7,9,2,False,True
5,69,58,singer,groupB,-6,-11,5,False,False
5,67,57,singer,groupB,-11,-10,1,False,False
5,62,52,singer,groupB,-10,-10,0,True,False
5,56,63,singer,groupB,7,7,0,True,True
5,68,67,singer,groupB,-3,-1,2,False,False
5,69,63,singer,groupB,-11,-6,5,False,False
5,58,67,singer,groupB,8,9,1,False,True
5,61,52,singer,groupB,-6,-9,3,False,False
5,56,63,singer,groupB,12,7,5,False,True
5,56,66,singer,groupB,11,10,1,False,True
5,59,55,singer,groupB,-1,-4,3,False,False
5,64,55,singer,groupB,-6,-9,3,False,False
5,53,64,singer,groupB,8,11,3,False,True
5,67,56,singer,groupB,-9,-11,2,False,False
5,58,62,vocal,groupA,5,4,1,False,True
5,52,55,vocal,groupA,2,3,1,False,True
5,52,60,vocal,groupA,4,8,4,False,True
5,67,64,vocal,groupA,-8,-3,5,False,False
5,53,65,vocal,groupA,12,12,0,True,True
5,52,64,vocal,groupA,8,12,4,False,True
5,60,68,vocal,groupA,12,8,4,False,True
5,67,67,vocal,groupA,0,0,0,True,False
5,52,55,vocal,groupA,2,3,1,False,True
5,59,63,vocal,groupA,4,4,0,True,True
5,56,58,vocal,groupA,1,2,1,False,True
5,61,66,vocal,groupA,8,5,3,False,True
5,56,54,vocal,groupA,-1,-2,1,False,False
5,62,57,vocal,groupA,5,-5,10,False,False
5,54,56,vocal,groupA,-3,2,5,False,True
5,57,54,vocal,groupA,-3,-3,0,True,False
5,69,67,vocal,groupA,-2,-2,0,True,False
5,54,55,vocal,groupA,1,1,0,True,True
5,62,54,vocal,groupA,-8,-8,0,True,False
5,64,52,vocal,groupA,-5,-12,7,False,False
6,65,59,singer,groupB,-3,-6,3,False,False
